congress,chamber,rollnumber,icpsr,cast_code,prob
117,Senate,5,40915.0,1,
117,Senate,5,40916.0,1,
117,Senate,5,41101.0,1,
117,Senate,5,41102.0,1,
117,Senate,5,41104.0,1,
117,Senate,5,41107.0,1,
117,Senate,5,41110.0,6,
117,Senate,5,41111.0,1,
117,Senate,5,41112.0,1,
117,Senate,5,41300.0,1,
117,Senate,5,41301.0,1,
117,Senate,5,41302.0,1,
117,Senate,5,41304.0,1,
117,Senate,5,41305.0,1,
117,Senate,5,41308.0,1,
117,Senate,5,41500.0,1,
117,Senate,5,41502.0,1,
117,Senate,5,41503.0,1,
117,Senate,5,41504.0,9,
117,Senate,5,41505.0,1,
117,Senate,5,41700.0,1,
117,Senate,5,41702.0,1,
117,Senate,5,41703.0,1,
117,Senate,5,41706.0,1,
117,Senate,5,41707.0,9,
117,Senate,5,41900.0,1,
117,Senate,5,41901.0,6,
117,Senate,5,41902.0,1,
117,Senate,5,41903.0,1,
117,Senate,5,41905.0,1,
117,Senate,5,42100.0,1,
117,Senate,5,42101.0,1,
117,Senate,5,42102.0,1,
117,Senate,5,42103.0,1,
117,Senate,5,42104.0,1,
117,Senate,5,42105.0,1,
117,Senate,5,49300.0,1,
117,Senate,5,49308.0,1,
117,Senate,5,49703.0,1,
117,Senate,5,94659.0,1,
117,Senate,5,99913.0,1,
117,Senate,6,14226.0,1,91.6
117,Senate,6,14307.0,1,100.0
117,Senate,6,14435.0,1,100.0
117,Senate,6,14858.0,1,100.0
117,Senate,6,14871.0,1,100.0
117,Senate,6,14921.0,1,86.2
117,Senate,6,15015.0,1,100.0
117,Senate,6,15021.0,1,100.0
117,Senate,6,15408.0,1,100.0
117,Senate,6,15424.0,1,71.5
117,Senate,6,20101.0,6,36.5
117,Senate,6,20146.0,1,90.7
117,Senate,6,20330.0,1,100.0
117,Senate,6,20351.0,6,42.7
117,Senate,6,20707.0,1,100.0
117,Senate,6,20713.0,1,100.0
117,Senate,6,20735.0,1,100.0
117,Senate,6,20919.0,1,84.7
117,Senate,6,20923.0,1,100.0
117,Senate,6,20930.0,1,100.0
117,Senate,6,20932.0,1,100.0
117,Senate,6,20953.0,1,76.3
117,Senate,6,21133.0,1,85.7
117,Senate,6,21166.0,1,59.9
117,Senate,6,21173.0,1,67.2
117,Senate,6,21300.0,1,99.8
117,Senate,6,21301.0,6,40.0
117,Senate,6,21325.0,1,99.9
117,Senate,6,21338.0,1,72.3
117,Senate,6,21350.0,6,37.9
117,Senate,6,21734.0,1,59.7
117,Senate,6,21743.0,1,99.7
117,Senate,6,29142.0,1,100.0
117,Senate,6,29147.0,1,100.0
117,Senate,6,29345.0,1,59.1
117,Senate,6,29373.0,1,100.0
117,Senate,6,29386.0,1,94.6
117,Senate,6,29389.0,1,100.0
117,Senate,6,29534.0,1,67.8
117,Senate,6,29548.0,1,87.4
117,Senate,6,29566.0,1,95.6
117,Senate,6,29722.0,1,74.2
117,Senate,6,29732.0,1,100.0
117,Senate,6,29735.0,1,78.3
117,Senate,6,29754.0,1,72.2
117,Senate,6,29935.0,1,83.1
117,Senate,6,29940.0,1,100.0
117,Senate,6,39310.0,1,100.0
117,Senate,6,40300.0,1,99.1
117,Senate,6,40305.0,1,84.9
117,Senate,6,40700.0,1,100.0
117,Senate,6,40702.0,1,99.8
117,Senate,6,40703.0,1,99.9
117,Senate,6,40704.0,1,100.0
117,Senate,6,40707.0,6,39.3
117,Senate,6,40902.0,6,55.1
117,Senate,6,40906.0,1,100.0
117,Senate,6,40908.0,1,100.0
117,Senate,6,40909.0,1,100.0
117,Senate,6,40910.0,1,100.0
117,Senate,6,40915.0,1,97.0
117,Senate,6,40916.0,1,100.0
117,Senate,6,41101.0,1,100.0
117,Senate,6,41102.0,9,77.0
117,Senate,6,41104.0,6,34.8
117,Senate,6,41107.0,6,42.8
117,Senate,6,41110.0,6,34.8
117,Senate,6,41111.0,1,73.7
117,Senate,6,41112.0,1,100.0
117,Senate,6,41300.0,1,100.0
117,Senate,6,41301.0,1,99.9
117,Senate,6,41302.0,1,61.2
117,Senate,6,41304.0,6,38.1
117,Senate,6,41305.0,1,100.0
117,Senate,6,41308.0,1,100.0
117,Senate,6,41500.0,6,25.3
117,Senate,6,41502.0,1,76.7
117,Senate,6,41503.0,1,75.3
117,Senate,6,41504.0,1,91.1
117,Senate,6,41505.0,1,86.9
117,Senate,6,41700.0,1,99.8
117,Senate,6,41702.0,1,99.9
117,Senate,6,41703.0,1,79.4
117,Senate,6,41706.0,1,100.0
117,Senate,6,41707.0,1,59.5
117,Senate,6,41900.0,1,19.8
117,Senate,6,41901.0,6,33.6
117,Senate,6,41902.0,1,80.5
117,Senate,6,41903.0,6,46.9
117,Senate,6,41905.0,1,99.6
117,Senate,6,42100.0,1,68.0
117,Senate,6,42101.0,1,100.0
117,Senate,6,42102.0,6,40.7
117,Senate,6,42103.0,1,99.7
117,Senate,6,42104.0,1,100.0
117,Senate,6,42105.0,1,99.8
117,Senate,6,49300.0,1,100.0
117,Senate,6,49308.0,1,100.0
117,Senate,6,49703.0,1,99.8
117,Senate,6,94659.0,6,61.6
117,Senate,6,99913.0,1,99.8
117,Senate,7,14226.0,1,90.3
117,Senate,7,14307.0,1,99.9
117,Senate,7,14435.0,1,99.7
117,Senate,7,14858.0,1,99.9
117,Senate,7,14871.0,1,99.9
117,Senate,7,14921.0,1,82.2
117,Senate,7,15015.0,1,100.0
117,Senate,7,15021.0,1,99.9
117,Senate,7,15408.0,1,99.9
117,Senate,7,15424.0,1,48.2
117,Senate,7,20101.0,6,39.0
117,Senate,7,20146.0,1,93.4
117,Senate,7,20330.0,1,99.9
117,Senate,7,20351.0,6,75.2
117,Senate,7,20707.0,1,99.9
117,Senate,7,20713.0,1,99.7
117,Senate,7,20735.0,1,99.8
117,Senate,7,20919.0,6,25.6
117,Senate,7,20923.0,1,99.9
117,Senate,7,20930.0,1,99.9
117,Senate,7,20932.0,1,99.9
117,Senate,7,20953.0,6,60.4
117,Senate,7,21133.0,1,77.6
117,Senate,7,21166.0,6,70.2
117,Senate,7,21173.0,6,66.3
117,Senate,7,21300.0,1,99.9
117,Senate,7,21301.0,6,69.1
117,Senate,7,21325.0,1,99.9
117,Senate,7,21338.0,6,55.4
117,Senate,7,21350.0,6,36.1
117,Senate,7,21734.0,6,68.3
117,Senate,7,21743.0,1,99.8
117,Senate,7,29142.0,1,99.9
117,Senate,7,29147.0,1,99.7
117,Senate,7,29345.0,1,44.8
117,Senate,7,29373.0,1,99.9
117,Senate,7,29386.0,1,92.6
117,Senate,7,29389.0,1,99.9
117,Senate,7,29534.0,1,71.5
117,Senate,7,29548.0,1,80.7
117,Senate,7,29566.0,1,93.8
117,Senate,7,29722.0,1,70.5
117,Senate,7,29732.0,1,99.9
117,Senate,7,29735.0,1,76.0
117,Senate,7,29754.0,1,66.9
117,Senate,7,29935.0,1,57.3
117,Senate,7,29940.0,1,99.8
117,Senate,7,39310.0,1,99.9
117,Senate,7,40300.0,1,99.2
117,Senate,7,40305.0,1,74.2
117,Senate,7,40700.0,1,99.9
117,Senate,7,40702.0,1,99.9
117,Senate,7,40703.0,1,99.9
117,Senate,7,40704.0,1,99.9
117,Senate,7,40707.0,6,59.8
117,Senate,7,40902.0,1,26.7
117,Senate,7,40906.0,1,99.9
117,Senate,7,40908.0,1,99.8
117,Senate,7,40909.0,1,99.9
117,Senate,7,40910.0,1,99.9
117,Senate,7,40915.0,1,99.5
117,Senate,7,40916.0,1,99.9
117,Senate,7,41101.0,1,99.9
117,Senate,7,41102.0,1,47.8
117,Senate,7,41104.0,6,83.9
117,Senate,7,41107.0,6,37.9
117,Senate,7,41110.0,6,83.9
117,Senate,7,41111.0,1,40.7
117,Senate,7,41112.0,1,99.9
117,Senate,7,41300.0,1,99.9
117,Senate,7,41301.0,1,98.1
117,Senate,7,41302.0,1,52.7
117,Senate,7,41304.0,6,85.2
117,Senate,7,41305.0,1,99.9
117,Senate,7,41308.0,1,99.6
117,Senate,7,41500.0,1,61.5
117,Senate,7,41502.0,6,43.5
117,Senate,7,41503.0,1,39.7
117,Senate,7,41504.0,1,87.5
117,Senate,7,41505.0,1,87.1
117,Senate,7,41700.0,1,99.8
117,Senate,7,41702.0,1,99.9
117,Senate,7,41703.0,6,42.2
117,Senate,7,41706.0,1,99.9
117,Senate,7,41707.0,1,53.8
117,Senate,7,41900.0,6,98.9
117,Senate,7,41901.0,6,78.9
117,Senate,7,41902.0,1,87.8
117,Senate,7,41903.0,6,82.5
117,Senate,7,41905.0,1,99.8
117,Senate,7,42100.0,1,29.0
117,Senate,7,42101.0,1,99.9
117,Senate,7,42102.0,6,90.4
117,Senate,7,42103.0,1,99.6
117,Senate,7,42104.0,1,99.9
117,Senate,7,42105.0,1,99.7
117,Senate,7,49300.0,1,99.9
117,Senate,7,49308.0,1,99.9
117,Senate,7,49703.0,1,99.8
117,Senate,7,94659.0,6,60.2
117,Senate,7,99913.0,1,99.8
117,Senate,8,14226.0,6,79.6
117,Senate,8,14307.0,1,99.9
117,Senate,8,14435.0,1,100.0
117,Senate,8,14858.0,1,99.9
117,Senate,8,14871.0,1,99.8
117,Senate,8,14921.0,6,87.1
117,Senate,8,15015.0,1,99.1
117,Senate,8,15021.0,1,99.9
117,Senate,8,15408.0,1,99.9
117,Senate,8,15424.0,6,95.4
117,Senate,8,20101.0,6,95.7
117,Senate,8,20146.0,6,75.2
117,Senate,8,20330.0,1,99.9
117,Senate,8,20351.0,6,97.8
117,Senate,8,20707.0,1,99.7
117,Senate,8,20713.0,1,100.0
117,Senate,8,20735.0,1,100.0
117,Senate,8,20919.0,6,89.5
117,Senate,8,20923.0,1,99.6
117,Senate,8,20930.0,1,99.9
117,Senate,8,20932.0,1,99.9
117,Senate,8,20953.0,6,92.0
117,Senate,8,21133.0,6,88.5
117,Senate,8,21166.0,6,97.5
117,Senate,8,21173.0,6,96.3
117,Senate,8,21300.0,1,96.3
117,Senate,8,21301.0,6,97.5
117,Senate,8,21325.0,1,99.9
117,Senate,8,21338.0,6,95.2
117,Senate,8,21350.0,6,95.5
117,Senate,8,21734.0,6,97.6
117,Senate,8,21743.0,1,99.6
117,Senate,8,29142.0,1,99.9
117,Senate,8,29147.0,1,100.0
117,Senate,8,29345.0,6,97.3
117,Senate,8,29373.0,1,99.9
117,Senate,8,29386.0,6,74.5
117,Senate,8,29389.0,1,100.0
117,Senate,8,29534.0,6,93.7
117,Senate,8,29548.0,6,86.9
117,Senate,8,29566.0,6,71.3
117,Senate,8,29722.0,6,93.2
117,Senate,8,29732.0,1,99.9
